TestNo,GroupName,ChannelName,Description,Inst_InsCom,Inst_Axis,Unit,Inst_SenAtt
10702,v10702_Veh1,10FORALERE00AC1P,"v10702_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0249s, max@0.0272s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10704,v10704_Veh1,10SEATLERE00AC1P,"v10704_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.03755s, max@0.03775s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10706,v10706_Veh1,10FORALERE00AC1P,"v10706_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0264s, max@0.0262s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10709,v10709_Veh1,10SEATLERE00AC1P,"v10709_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01s, max@0.0097s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10712,v10712_Veh1,10DOORLERE00AC1P,"v10712_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.035s, max@0.0208s",LEFT REAR SILL AX,XG,gn,DSLR
10713,v10713_Veh1,10SEATLERE00AC1P,"v10713_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.02512s, max@0.03s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10714,v10714_Veh1,10SEATLERE00AC1P,"v10714_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.07295s, max@0.0217s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10721,v10721_Veh1,10FORALERE00AC1P,"v10721_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0401s, max@0.0399s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10724,v10724_Veh1,10DOORLERE00AC1P,"v10724_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0173s, max@0.03s",LEFT REAR SILL AX,XG,gn,DSLR
10725,v10725_Veh1,10SEATLERE00AC1P,"v10725_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0609s, max@0.06055s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10732,v10732_Veh1,10SEATLERE00AC1P,"v10732_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.02304s, max@0.02352s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10733,v10733_Veh1,10FORALERE00AC1P,"v10733_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0555s, max@0.0173s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10737,v10737_Veh1,10SEATLERE00AC1P,"v10737_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.04384s, max@0.02976s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10763,v10763_Veh1,10DOORLERE00AC1P,"v10763_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0581s, max@0.0583s",LEFT REAR SILL AX,XG,gn,DSLR
10768,v10768_Veh1,10DOORLERE00AC1P,"v10768_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.047s, max@0.0468s",LEFT REAR SILL AX,XG,gn,DSLR
10770,v10770_Veh1,10FORALERE00AC1P,"v10770_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0378s, max@0.0258s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10778,v10778_Veh1,10FORALERE00AC1P,"v10778_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0539s, max@0.0488s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10793,v10793_Veh1,10SEATLERE00AC1P,"v10793_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.044s, max@0.0184s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10797,v10797_Veh1,10FORALERE00AC1P,"v10797_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0205s, max@0.0202s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10807,v10807_Veh1,10SEATLERE00AC1P,"v10807_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01955s, max@0.0236s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10816,v10816_Veh1,10SEATLERE00AC1P,"v10816_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.0224s, max@0.02376s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10826,v10826_Veh1,10FORALERE00AC1P,"v10826_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.05s, max@0.0483s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10830,v10830_Veh1,10SEATLERE00AC1P,"v10830_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.0456s, max@0.01744s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10831,v10831_Veh1,10SEATLERE00AC1P,"v10831_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.02405s, max@0.0357s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10836,v10836_Veh1,10SEATLERE00AC1P,"v10836_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0161s, max@0.0149s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10837,v10837_Veh1,10FORALERE00AC1P,"v10837_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0164s, max@0.0221s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10865,v10865_Veh1,10SEATLERE00AC1P,"v10865_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01785s, max@0.0081s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10914,v10914_Veh1,10SEATLERE00AC1P,"v10914_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01835s, max@0.02285s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10917,v10917_Veh1,10FORALERE00AC1P,"v10917_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0451s, max@0.0348s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10918,v10918_Veh1,10SEATLERE00AC1P,"v10918_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.04544s, max@0.04584s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10921,v10921_Veh1,10DOORLERE00AC1P,"v10921_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0473s, max@0.0471s",LEFT REAR SILL AX,XG,gn,DSLR
10924,v10924_Veh1,10SEATLERE00AC1P,"v10924_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0321s, max@0.0338s",LEFT REAR SEAT CROSSMEMBER AX,XG,gn,SELR
10925,v10925_Veh1,10FORALERE00AC1P,"v10925_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0419s, max@0.0159s",LEFT REAR SEAT CROSSMEMBER X,XG,gn,FLLR
10961,v10961_Veh1,10SEATLERE00AC1P,"v10961_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.04264s, max@0.02688s",CROSSMEMBER LEFT REAR X,XG,gn,SELR
10962,v10962_Veh1,10DOORLERE00AC1P,"v10962_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0523s, max@0.0236s",LEFT REAR SILL AX,XG,gn,DSLR
