test_id,left_channel,right_channel,body_source,engine_channel,engine_status,engine_duration_ms,whel_channel,energy_ratio,calc_crush_mm,calc_peak_g,status
7022,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,533.7,27.73,Valid
7023,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.013,455.0,38.36,Valid
7024,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,574.7,44.22,Valid
7026,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.001,665.0,39.08,Valid
7027,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,698.7,38.16,Valid
7032,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.004,652.6,59.55,Valid
7034,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,490.2,22.14,Valid
7046,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,486.3,25.94,Valid
7053,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,475.0,24.76,Valid
7056,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,702.4,37.99,Valid
7066,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.006,768.1,29.8,Valid
7068,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.031,666.3,34.49,Valid
7074,10SEATLERE00AC1P,10SEATRIRE00AC1P,SEAT_Rear,10ENGN000000AC1P,Valid,349.9,10WHELRI0000AC1P,1.002,671.8,30.81,Valid
7076,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,711.5,43.72,Valid
7078,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,780.0,32.25,Valid
7099,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.003,642.1,40.63,Valid
7100,10ENGN000000AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,458.9,93.52,Valid
7108,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,709.4,36.34,Valid
7112,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.001,711.6,44.7,Valid
7115,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELLE0000AC1P,1.006,628.2,32.61,Valid
7120,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.005,937.6,48.08,Valid
7121,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.003,674.2,45.12,Valid
7126,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,638.3,53.46,Valid
7127,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Short (0.0ms),0.0,10WHELRI0000AC1P,1.012,621.9,50.77,Valid
7131,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,651.0,39.52,Valid
7137,10FORARIRE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,707.8,38.79,Valid
7139,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.01,730.7,53.5,Valid
7144,10VEHCCG0000AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,500.0,10WHELRI0000AC1P,1.02,1918.2,23.42,Outlier
7147,10FORARIRE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.005,1038.0,35.93,Outlier
7148,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,682.4,45.9,Valid
7149,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (60.0ms),60.0,10WHELLE0000AC1P,1.002,774.4,35.55,Valid
7150,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.005,569.9,45.08,Valid
7152,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.003,748.1,37.22,Valid
7158,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,675.1,31.39,Valid
7175,10SEATLERE00AC1P,10SEATRIRE00AC1P,SEAT_Rear,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.011,587.6,64.74,Valid
7179,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.001,719.1,53.28,Valid
7180,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (80.0ms),80.0,10WHELLE0000AC1P,1.004,805.9,33.43,Valid
7182,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (20.0ms),20.0,10WHELLE0000AC1P,1.001,668.6,52.24,Valid
7183,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.005,643.1,49.83,Valid
7188,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,656.8,37.25,Valid
7189,10SEATLERE00AC1P,10SEATRIRE00AC1P,SEAT_Rear,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.009,611.6,39.68,Valid
7194,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (0.0ms),0.0,10WHELLE0000AC1P,1.004,605.1,42.44,Valid
7196,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.001,732.2,36.07,Valid
7200,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.005,664.5,41.05,Valid
7201,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,630.2,40.87,Valid
7203,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.015,697.6,42.48,Valid
7264,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (44.0ms),44.0,10WHELLE0000AC1P,1.001,615.5,32.82,Valid
7265,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.004,505.4,23.21,Valid
7266,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,577.8,22.54,Valid
7271,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,485.7,28.03,Valid
7272,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,504.9,31.62,Valid
7273,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.004,527.0,32.4,Valid
7274,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,705.3,15.21,Valid
7284,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,463.8,30.92,Valid
7291,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.005,904.3,27.26,Valid
7292,10VEHCCG0000AC1P,,Comprehensive_Optimization_10only,,Missing,0.0,,0.865,7494.5,104.28,Outlier
7293,10VEHCCG0000AC1P,,Comprehensive_Optimization_10only,,Missing,0.0,,0.835,6012.6,40.93,Outlier
7301,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,439.4,28.03,Valid
7302,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,480.8,29.88,Valid
7305,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.001,547.5,33.36,Valid
7308,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (60.0ms),60.0,10WHELLE0000AC1P,1.021,443.3,34.34,Valid
7321,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,531.2,28.21,Valid
